UF	1872	1890	1900	1920	1940	1950	1960	1970	1980	1991	2000	2010
RO	0	0	0	0	0	36935	70783	116620	503125	1130874	1377792	1562409
AC	0	0	0	92379	79768	114755	160208	218006	306893	417165	557226	733559
AM	57610	147915	249756	363166	438008	514099	721215	960934	1449135	2102901	2813085	3483985
RR	0	0	0	0	0	18116	29489	41638	82018	215950	324152	450479
PA	275237	328455	445356	983507	944644	1123273	1550935	2197072	3507312	5181570	6189550	7581051
AP	0	0	0	0	0	37477	68889	116480	180078	288690	475843	669526 
TO	0	0	0	0	165188	204041	328486	537563	738688	920116	1155913	1383445
MA	359040	430854	499308	874337	1235169	1583248	2492139	3037135	4097231	4929029	5642960	6574789
PI	202222	267609	334328	609003	817601	1045696	1263368	1734894	2188150	2581215	2841202	3118360
CE	721686	805687	849127	1319228	2091032	2695450	3337856	4491590	5380432	6362620	7418476	8452381
RN	233979	268273	274317	537135	768018	967921	1157258	1611606	1933126	2414121	2771538	3168027
PB	376226	457232	490784	961106	1422282	1713259	2018023	2445419	2810032	3200677	3439344	3766528
PE	841539	1030224	1178150	2154835	2688240	3395766	4138289	5253901	6244275	7122548	7911937	8796448
AL	348009	511440	649273	978748	951300	1093137	1271062	1606174	2011875	2512991	2819172	3120494
SE	176243	310926	356264	477064	542326	644361	760273	911251	1156642	1491867	1781714	2068017
BA	1379616	1919802	2117956	3334465	3918112	4834575	5990605	7583140	9597393	11855157	13066910	14016906
MG	2039735	3184099	3594471	5888174	6763368	7782188	9960040	11645095	13651852	15731961	17866402	19597330
ES	82137	135997	209783	457328	790149	957238	1418348	1617857	2063679	2598505	3094390	3514952
RJ	1057696	1399535	1737478	2717244	3611998	4674645	6709891	9110324	11489797	12783761	14367083	15989929
SP	837354	1384753	2282279	4592188	7180316	9134423	12974699	17958693	25375199	31546473	36969476	41262199
PR	126722	249491	327136	685711	1236276	2115547	4296375	6997682	7749752	8443299	9558454	10444526
SC	159802	283769	320289	668743	1178340	1560502	2146909	2930411	3687652	4538248	5349580	6248436
RS	434813	897455	1149070	2182713	3320689	4164821	5448823	6755458	7942722	9135479	10181749	10693929
MS	0	0	0	0	238640	309395	579652	1010731	1401151	1778741	2074877	2449024
MT	60417	92827	118025	246612	193625	212649	330610	612887	1169812	2022524	2502260	3035122
GO	160395	227572	255284	511919	661226	1010880	1626376	2460007	3229219	4012562	4996439	6003788
DF	0	0	0	0	0	0	141742	546015	1203333	1598415	2043169	2570160